grib_id,hrap_x,hrap_y,bin_area
463974,1001,414,980478
463975,1002,414,169493
463977,1004,414,19098
463978,1005,414,3456738
463979,1006,414,1271762
465095,1001,415,10409385
465096,1002,415,15445056
465097,1003,415,13642127
465098,1004,415,12095993
465099,1005,415,15765319
465100,1006,415,2014439
466216,1001,416,3991139
466217,1002,416,15821824
466218,1003,416,15817205
466219,1004,416,15812584
466220,1005,416,13522501
467337,1001,417,9413630
467338,1002,417,15830920
467339,1003,417,15826293
467340,1004,417,15821663
467341,1005,417,12332889
468454,997,418,439
468455,998,418,4665128
468456,999,418,3017066
468457,1000,418,5297171
468458,1001,418,15105430
468459,1002,418,15840026
468460,1003,418,15835390
468461,1004,418,15830751
468462,1005,418,10920511
469574,996,419,6317627
469575,997,419,13319222
469576,998,419,15867689
469577,999,419,15848976
469578,1000,419,15858422
469579,1001,419,15853783
469580,1002,419,15849142
469581,1003,419,15844497
469582,1004,419,15839849
469583,1005,419,8678005
470691,992,420,494533
470692,993,420,9530509
470693,994,420,10518929
470694,995,420,6658225
470695,996,420,14384228
470696,997,420,15881488
470697,998,420,15876850
470698,999,420,15872209
470699,1000,420,15867565
470700,1001,420,15862918
470701,1002,420,15858267
470702,1003,420,15853613
470703,1004,420,15848956
470704,1005,420,6204297
471812,992,421,3257600
471813,993,421,15909222
471814,994,421,15904588
471815,995,421,15899951
471816,996,421,15895311
471817,997,421,15890668
471818,998,421,15886021
471819,999,421,15881371
471820,1000,421,15876718
471821,1001,421,15872062
471822,1002,421,15867403
471823,1003,421,15862740
471824,1004,421,15858074
471825,1005,421,3894866
472932,991,422,5105399
472933,992,422,12034724
472934,993,422,15918447
472935,994,422,15913805
472936,995,422,15909159
472937,996,422,15904510
472938,997,422,15899858
472939,998,422,15895202
472940,999,422,15890543
472941,1000,422,15885881
472942,1001,422,15881216
472943,1002,422,15876548
472944,1003,422,15871876
472945,1004,422,15867201
472946,1005,422,2396986
474051,989,423,1009
474053,991,423,9742454
474054,992,423,15932331
474055,993,423,15927683
474056,994,423,15923031
474057,995,423,15918377
474058,996,423,15913719
474059,997,423,15909057
474060,998,423,15904393
474061,999,423,15899725
474062,1000,423,15895054
474063,1001,423,15890380
474064,1002,423,15885702
474065,1003,423,15881022
474066,1004,423,15876338
474067,1005,423,1038323
475170,987,424,102157
475171,988,424,8026370
475172,989,424,13849724
475173,990,424,15247338
475174,991,424,15614188
475175,992,424,15941585
475176,993,424,15936928
475177,994,424,15932268
475178,995,424,15927604
475179,996,424,15922937
475180,997,424,15918267
475181,998,424,15913594
