grib_id,hrap_x,hrap_y,bin_area
452930,46,405,45524
454049,44,406,3282607
454050,45,406,13482757
454051,46,406,9301683
454052,47,406,277322
455169,43,407,2474859
455170,44,407,3521423
455171,45,407,16710972
455172,46,407,16456949
455173,47,407,9041076
455174,48,407,2740365
455175,49,407,4320279
455176,50,407,1102766
456289,42,408,82432
456290,43,408,14055467
456291,44,408,16477673
456292,45,408,16721356
456293,46,408,16724447
456294,47,408,16727531
456295,48,408,14635254
456296,49,408,16733676
456297,50,408,5248972
457410,42,409,1505906
457411,43,409,15529108
457412,44,409,16728638
457413,45,409,16731741
457414,46,409,16734835
457415,47,409,16737922
457416,48,409,16741001
457417,49,409,16744049
457418,50,409,1489261
458531,42,410,9403078
458532,43,410,16735908
458533,44,410,16739021
458534,45,410,16742127
458535,46,410,16745224
458536,47,410,16748314
458537,48,410,16751396
458538,49,410,16392809
458539,50,410,1678015
459651,41,411,6305489
459652,42,411,16684615
459653,43,411,16746289
459654,44,411,16749406
459655,45,411,16752514
459656,46,411,16755615
459657,47,411,16758707
459658,48,411,16761792
459659,49,411,12297721
460771,40,412,4866736
460772,41,412,15727855
460773,42,412,16753544
460774,43,412,16756672
460775,44,412,16759791
460776,45,412,16762902
460777,46,412,16766006
460778,47,412,16769101
460779,48,412,16772189
460780,49,412,16759477
460781,50,412,8190334
461890,38,413,64311
461891,39,413,8494506
461892,40,413,16650298
461893,41,413,16760787
461894,42,413,16763925
461895,43,413,16767055
461896,44,413,16770177
461897,45,413,16773291
461898,46,413,16776398
461899,47,413,16779496
461900,48,413,16782587
461901,49,413,16785670
461902,50,413,7678189
463011,38,414,7557290
463012,39,414,16764860
463013,40,414,16768017
463014,41,414,16771166
463015,42,414,16774306
463016,43,414,16777439
463017,44,414,16780564
463018,45,414,16783682
463019,46,414,16786791
463020,47,414,16789892
463021,48,414,14538242
463022,49,414,16762266
463023,50,414,8896899
464131,37,415,913194
464132,38,415,16288669
464133,39,415,16775234
464134,40,415,16778393
464135,41,415,16781545
464136,42,415,16784689
464137,43,415,16787825
464138,44,415,16790953
464139,45,415,16794073
464140,46,415,16674394
464141,47,415,5479533
464142,48,415,1933466
464143,49,415,6270653
464144,50,415,4263919
465252,37,416,6479946
465253,38,416,16782438
465254,39,416,16785608
465255,40,416,16788771
465256,41,416,16791925
465257,42,416,16795072
465258,43,416,16798211
465259,44,416,16801342
465260,45,416,16804465
465261,46,416,13332133
465262,47,416,489455
466372,36,417,1915425
466373,37,417,16400121
466374,38,417,16792811
466375,39,417,16795984
466376,40,417,16799149
466377,41,417,16802307
466378,42,417,16805457
466379,43,417,16808598
466380,44,417,16811732
466381,45,417,16814858
466382,46,417,5791114
467493,36,418,9363226
467494,37,418,16800000
467495,38,418,16803184
467496,39,418,16806360
467497,40,418,16809529
467498,41,418,16812689
467499,42,418,16815842
467500,43,418,16818987
467501,44,418,16822124
467502,45,418,16815236
467503,46,418,4249700
468613,35,419,80155
468614,36,419,14337617
468615,37,419,16810372
468616,38,419,16813559
468617,39,419,16816738
468618,40,419,16819909
468619,41,419,16823073
468620,42,419,16826228
468621,43,419,16829376
468622,44,419,16832516
468623,45,419,15129782
468624,46,419,233996
469734,35,420,9034481
469735,36,420,16817546
469736,37,420,16820744
469737,38,420,16823934
469738,39,420,16827116
469739,40,420,16830291
469740,41,420,16833457
469741,42,420,16836615
469742,43,420,16839766
469743,44,420,12343260
469744,45,420,2739643
470854,34,421,1009243
470855,35,421,16052095
470856,36,421,16827916
470857,37,421,16831117
470858,38,421,15570502
470859,39,421,16567836
470860,40,421,9543316
470861,41,421,5937335
470862,42,421,15741585
470863,43,421,16286833
470864,44,421,699042
471975,34,422,6823599
471976,35,422,16835076
471977,36,422,16838287
471978,37,422,16841491
471979,38,422,5632588
471980,39,422,2232884
471983,42,422,2757684
471984,43,422,3263913
473095,33,423,404924
473096,34,423,15897096
473097,35,423,6654427
473098,36,423,5763112
473099,37,423,10544240
473100,38,423,1167043
474216,33,424,574226
474217,34,424,7002179
474218,35,424,945030
