grib_id,hrap_x,hrap_y,bin_area,area_name
403307,868,360,711078,Alpharetta
403308,869,360,8423562,Alpharetta
403309,870,360,7755082,Alpharetta
403310,871,360,286657,Alpharetta
404428,868,361,7498100,Alpharetta
404429,869,361,14395580,Alpharetta
404430,870,361,15815189,Alpharetta
404431,871,361,3593775,Alpharetta
405549,868,362,28015,Alpharetta
405550,869,362,1294634,Alpharetta
405551,870,362,6491914,Alpharetta
405552,871,362,4365770,Alpharetta
389854,867,348,2887,Atlanta
389855,868,348,3616054,Atlanta
389856,869,348,264205,Atlanta
390975,867,349,2509093,Atlanta
390976,868,349,15622596,Atlanta
390977,869,349,4062789,Atlanta
390978,870,349,1232975,Atlanta
390979,871,349,5667715,Atlanta
390980,872,349,3124015,Atlanta
392096,867,350,6068637,Atlanta
392097,868,350,12889716,Atlanta
392098,869,350,13731623,Atlanta
392099,870,350,10981453,Atlanta
392100,871,350,15737033,Atlanta
392101,872,350,4483694,Atlanta
393217,867,351,4766956,Atlanta
393218,868,351,15758159,Atlanta
393219,869,351,15754435,Atlanta
393220,870,351,15750704,Atlanta
393221,871,351,14180496,Atlanta
393222,872,351,213749,Atlanta
394338,867,352,4083901,Atlanta
394339,868,352,15768104,Atlanta
394340,869,352,15764377,Atlanta
394341,870,352,15760642,Atlanta
394342,871,352,8577599,Atlanta
395459,867,353,37,Atlanta
395460,868,353,12007214,Atlanta
395461,869,353,15774320,Atlanta
395462,870,353,15769926,Atlanta
395463,871,353,2799804,Atlanta
396581,868,354,13020118,Atlanta
396582,869,354,15784265,Atlanta
396583,870,354,12767898,Atlanta
397702,868,355,1796316,Atlanta
397703,869,355,8088041,Atlanta
397704,870,355,5795695,Atlanta
383123,862,342,71968,Chattahoochee_Hills
383124,863,342,6072947,Chattahoochee_Hills
383125,864,342,5973522,Chattahoochee_Hills
383126,865,342,850632,Chattahoochee_Hills
384244,862,343,57742,Chattahoochee_Hills
384245,863,343,14801006,Chattahoochee_Hills
384246,864,343,15693368,Chattahoochee_Hills
384247,865,343,14564765,Chattahoochee_Hills
384248,866,343,3221122,Chattahoochee_Hills
385366,863,344,11259008,Chattahoochee_Hills
385367,864,344,15703315,Chattahoochee_Hills
385368,865,344,11849374,Chattahoochee_Hills
385369,866,344,5830881,Chattahoochee_Hills
386487,863,345,3414695,Chattahoochee_Hills
386488,864,345,15439234,Chattahoochee_Hills
386489,865,345,9170965,Chattahoochee_Hills
386490,866,345,1220931,Chattahoochee_Hills
387608,863,346,46064,Chattahoochee_Hills
387609,864,346,6745348,Chattahoochee_Hills
387610,865,346,9186956,Chattahoochee_Hills
388731,865,347,1685118,Chattahoochee_Hills
388735,869,347,3777669,College_Park
388736,870,347,1656448,College_Park
389856,869,348,4179200,College_Park
389857,870,348,6183117,College_Park
390977,869,349,991116,College_Park
390978,870,349,4976355,College_Park
383123,862,342,71968,Countywide
383124,863,342,6072947,Countywide
383125,864,342,5973522,Countywide
383126,865,342,850632,Countywide
384244,862,343,57742,Countywide
384245,863,343,14801006,Countywide
384246,864,343,15693368,Countywide
384247,865,343,15086782,Countywide
384248,866,343,9840741,Countywide
384249,867,343,4010351,Countywide
384250,868,343,1288429,Countywide
385366,863,344,11259008,Countywide
385367,864,344,15703315,Countywide
385368,865,344,15699642,Countywide
385369,866,344,15695963,Countywide
385370,867,344,15692277,Countywide
385371,868,344,10954822,Countywide
385372,869,344,755683,Countywide
386487,863,345,3414695,Countywide
386488,864,345,15439234,Countywide
386489,865,345,15709587,Countywide
386490,866,345,15705904,Countywide
386491,867,345,15702215,Countywide
386492,868,345,15698518,Countywide
386493,869,345,13210003,Countywide
386494,870,345,2919817,Countywide
387608,863,346,46064,Countywide
387609,864,346,6745348,Countywide
387610,865,346,15669876,Countywide
387611,866,346,15715847,Countywide
387612,867,346,15712154,Countywide
387613,868,346,15708455,Countywide
387614,869,346,15704748,Countywide
387615,870,346,15032940,Countywide
387616,871,346,600281,Countywide
388731,865,347,6755555,Countywide
388732,866,347,15725792,Countywide
388733,867,347,15722095,Countywide
388734,868,347,15718392,Countywide
388735,869,347,15714682,Countywide
388736,870,347,11107751,Countywide
389852,865,348,2222896,Countywide
389853,866,348,15661176,Countywide
389854,867,348,15732038,Countywide
389855,868,348,15728331,Countywide
389856,869,348,15724618,Countywide
389857,870,348,6183117,Countywide
390974,866,349,10772338,Countywide
390975,867,349,15741983,Countywide
390976,868,349,15738272,Countywide
390977,869,349,15734555,Countywide
390978,870,349,15165576,Countywide
390979,871,349,10357958,Countywide
390980,872,349,3124015,Countywide
392095,866,350,3940857,Countywide
392096,867,350,15751929,Countywide
392097,868,350,15748215,Countywide
392098,869,350,15744494,Countywide
392099,870,350,15740767,Countywide
392100,871,350,15737033,Countywide
392101,872,350,4483694,Countywide
393216,866,351,10662,Countywide
393217,867,351,12179128,Countywide
393218,868,351,15758159,Countywide
393219,869,351,15754435,Countywide
