"grib_id","hrap_x","hrap_y","bin_area"
156349,530,140,7146009
156350,531,140,8415000
157469,529,141,998587
157470,530,141,13272796
157471,531,141,13350500
157472,532,141,656574
158589,528,142,2765373
158590,529,142,6502436
158591,530,142,14505615
158592,531,142,14243165
158593,532,142,1519266
159708,526,143,615410
159709,527,143,6209153
159710,528,143,14353201
159711,529,143,14516507
159712,530,143,14515621
159713,531,143,11795034
159718,536,143,144580
159719,537,143,10247
160828,525,144,2870825
160829,526,144,10882022
160830,527,144,14528271
160831,528,144,14527398
160832,529,144,14526518
160833,530,144,14525631
160834,531,144,13628052
160835,532,144,501200
160839,536,144,3535383
160840,537,144,4443039
161947,523,145,10874
161948,524,145,1192836
161949,525,145,13105281
161950,526,145,14539155
161951,527,145,14538287
161952,528,145,14537414
161953,529,145,14536533
161954,530,145,14535645
161955,531,145,14534750
161956,532,145,12492634
161957,533,145,6193083
161958,534,145,149023
161960,536,145,4208401
161961,537,145,10181034
163066,521,146,22
163067,522,146,3223791
163068,523,146,10702556
163069,524,146,14493368
163070,525,146,14550037
163071,526,146,14549175
163072,527,146,14548307
163073,528,146,14547432
163074,529,146,14546550
163075,530,146,14545662
163076,531,146,14544766
163077,532,146,14543864
163078,533,146,14542955
163079,534,146,14157034
163080,535,146,12657807
163081,536,146,14201393
163082,537,146,8712218
163086,541,146,6006278
164185,519,147,833762
164186,520,147,12223277
164187,521,147,12180711
164188,522,147,14562607
164189,523,147,14561765
164190,524,147,14560917
164191,525,147,14560061
164192,526,147,14559199
164193,527,147,14558330
164194,528,147,14557454
164195,529,147,14556571
164196,530,147,14555682
164197,531,147,14554786
164198,532,147,14553882
164199,533,147,14552973
164200,534,147,14552056
164201,535,147,14551132
164202,536,147,14550202
164203,537,147,12989757
164204,538,147,1783844
164206,540,147,1282223
164207,541,147,14264204
164208,542,147,3693
165306,519,148,1372975
165307,520,148,14409872
165308,521,148,14573473
165309,522,148,14572637
165310,523,148,14571795
165311,524,148,14570945
165312,525,148,14570089
165313,526,148,14569226
165314,527,148,14568356
165315,528,148,14567479
165316,529,148,14566596
165317,530,148,14565705
165318,531,148,14564808
165319,532,148,14563904
165320,533,148,14562993
165321,534,148,14562075
165322,535,148,14561151
165323,536,148,14560220
165324,537,148,14559282
165325,538,148,13923732
165326,539,148,3635834
165327,540,148,1918308
165328,541,148,12892730
165329,542,148,375181
165332,545,148,1123362
165333,546,148,3725223
166426,518,149,1187261
166427,519,149,11358867
166428,520,149,14196856
166429,521,149,14583508
166430,522,149,14582671
166431,523,149,14581828
166432,524,149,14580978
166433,525,149,14580120
166434,526,149,14579256
166435,527,149,14578386
166436,528,149,14577508
166437,529,149,14576623
166438,530,149,14575732
166439,531,149,14574834
166440,532,149,14573929
166441,533,149,14573017
166442,534,149,14572099
166443,535,149,14571173
166444,536,149,14570241
166445,537,149,14569302
166446,538,149,14568356
166447,539,149,14463819
166448,540,149,12830426
166449,541,149,10654222
166450,542,149,159834
166452,544,149,4768263
166453,545,149,13965142
166454,546,149,10096343
166456,548,149,213043
166457,549,149,4370607
167545,516,150,2690781
167546,517,150,10905531
167547,518,150,13498161
167548,519,150,14595200
167549,520,150,14594377
167550,521,150,14593546
167551,522,150,14592709
167552,523,150,14591864
167553,524,150,14591013
167554,525,150,14590155
167555,526,150,14589290
167556,527,150,14588418
167557,528,150,14587540
167558,529,150,14586655
167559,530,150,14585762
167560,531,150,14584863
167561,532,150,14583957
167562,533,150,14583045
167563,534,150,14582125
167564,535,150,14581199
167565,536,150,14580265
167566,537,150,14579326
167567,538,150,14578379
167568,539,150,14577425
167569,540,150,14261235
