"grib_id","hrap_x","hrap_y","bin_area","area_name"
476295,991,425,3604323,"Black"
476296,992,425,3725355,"Black"
476297,993,425,2714659,"Black"
476298,994,425,1808245,"Black"
476299,995,425,1101224,"Black"
476300,996,425,21,"Black"
477414,989,426,45118,"Black"
477415,990,426,4498102,"Black"
477416,991,426,15456761,"Black"
477417,992,426,15960125,"Black"
477418,993,426,15955449,"Black"
477419,994,426,15950771,"Black"
477420,995,426,15879019,"Black"
477421,996,426,11905702,"Black"
477422,997,426,9855419,"Black"
477423,998,426,6698925,"Black"
478533,987,427,96137,"Black"
478534,988,427,2489245,"Black"
478535,989,427,5675165,"Black"
478536,990,427,15978767,"Black"
478537,991,427,15974090,"Black"
478538,992,427,15969409,"Black"
478539,993,427,15964725,"Black"
478540,994,427,15960038,"Black"
478541,995,427,15955347,"Black"
478542,996,427,15827797,"Black"
478543,997,427,10571844,"Black"
478544,998,427,1271284,"Black"
479652,985,428,1752805,"Black"
479653,986,428,11978453,"Black"
479654,987,428,15091395,"Black"
479655,988,428,15997443,"Black"
479656,989,428,15992763,"Black"
479657,990,428,15988080,"Black"
479658,991,428,15983394,"Black"
479659,992,428,15978704,"Black"
479660,993,428,15974011,"Black"
479661,994,428,15969314,"Black"
479662,995,428,15964614,"Black"
479663,996,428,8793583,"Black"
480772,984,429,1182268,"Black"
480773,985,429,9438642,"Black"
480774,986,429,16016152,"Black"
480775,987,429,16011470,"Black"
480776,988,429,16006784,"Black"
480777,989,429,16002096,"Black"
480778,990,429,15997403,"Black"
480779,991,429,15992708,"Black"
480780,992,429,15988009,"Black"
480781,993,429,15983306,"Black"
480782,994,429,15978601,"Black"
480783,995,429,11566997,"Black"
480784,996,429,1050567,"Black"
481891,982,430,3080235,"Black"
481892,983,430,14391447,"Black"
481893,984,430,15995544,"Black"
481894,985,430,16030209,"Black"
481895,986,430,16025521,"Black"
481896,987,430,16020830,"Black"
481897,988,430,16016136,"Black"
481898,989,430,16011438,"Black"
481899,990,430,16006737,"Black"
481900,991,430,16002032,"Black"
481901,992,430,15997324,"Black"
481902,993,430,15992612,"Black"
481903,994,430,15987898,"Black"
481904,995,430,6986946,"Black"
483012,982,431,4212937,"Black"
483013,983,431,16048588,"Black"
483014,984,431,16044292,"Black"
483015,985,431,16039598,"Black"
483016,986,431,16034901,"Black"
483017,987,431,16030201,"Black"
483018,988,431,16025497,"Black"
483019,989,431,16020790,"Black"
483020,990,431,16016080,"Black"
483021,991,431,16011366,"Black"
483022,992,431,16006649,"Black"
483023,993,431,16001928,"Black"
