grib_id,hrap_x,hrap_y,bin_area
170947,555,153,186521
170948,556,153,3492832
172068,555,154,13511
172069,556,154,12421149
172070,557,154,10727941
172071,558,154,6684843
172072,559,154,2638342
172073,560,154,1049590
172074,561,154,7686
173190,556,155,7954127
173191,557,155,14609160
173192,558,155,14608071
173193,559,155,14606976
173194,560,155,14605874
173195,561,155,13818516
173196,562,155,9823051
173197,563,155,3281176
173198,564,155,261057
173199,565,155,5515479
173200,566,155,7541752
173201,567,155,8226669
174311,556,156,2806869
174312,557,156,14619182
174313,558,156,14618093
174314,559,156,14616997
174315,560,156,14615894
174316,561,156,14614784
174317,562,156,14613667
174318,563,156,14579356
174319,564,156,10733512
174320,565,156,14610276
174321,566,156,14609132
174322,567,156,14607378
174323,568,156,1464994
175432,556,157,8406100
175433,557,157,14629208
175434,558,157,14628118
175435,559,157,14627020
175436,560,157,14625916
175437,561,157,14624805
175438,562,157,14623687
175439,563,157,14622563
175440,564,157,14621431
175441,565,157,14620293
175442,566,157,14619148
175443,567,157,14617996
175444,568,157,8323050
176553,556,158,9160822
176554,557,158,14639238
176555,558,158,14638146
176556,559,158,14637047
176557,560,158,14635942
176558,561,158,14634830
176559,562,158,14633711
176560,563,158,14632585
176561,564,158,14631452
176562,565,158,14630313
176563,566,158,14629167
176564,567,158,14628014
176565,568,158,9888362
177674,556,159,828622
177675,557,159,9220666
177676,558,159,6601421
177677,559,159,11212927
177678,560,159,14645971
177679,561,159,14644858
177680,562,159,14643738
177681,563,159,14642611
177682,564,159,14641477
177683,565,159,14640336
177684,566,159,14639189
177685,567,159,12226669
177686,568,159,3232755
178798,559,160,686686
178799,560,160,4877147
178800,561,160,10049336
178801,562,160,9013808
178802,563,160,5573429
178803,564,160,3254496
178804,565,160,5683164
178805,566,160,5001189
178806,567,160,483623
