grib_id,hrap_x,hrap_y,bin_area
182176,574,163,2288806
182177,575,163,8205544
183297,574,164,4681484
183298,575,164,14665932
183299,576,164,5220991
184418,574,165,9344226
184419,575,165,14688691
184420,576,165,14310688
184421,577,165,3952412
185538,573,166,53038
185539,574,166,9711431
185540,575,166,14698725
185541,576,166,14697501
185542,577,166,13537311
185543,578,166,1540093
186657,571,167,429333
186658,572,167,3023145
186659,573,167,7171856
186660,574,167,14709981
186661,575,167,14708762
186662,576,167,14707537
186663,577,167,14706305
186664,578,167,6374709
187770,563,168,391851
187771,564,168,6441325
187772,565,168,7381462
187773,566,168,10442358
187774,567,168,5388422
187775,568,168,1179111
187776,569,168,3250819
187777,570,168,7638357
187778,571,168,12959737
187779,572,168,14721925
187780,573,168,14692889
187781,574,168,14720022
187782,575,168,14718803
187783,576,168,14717576
187784,577,168,14716342
187785,578,168,8120620
188888,560,169,225225
188889,561,169,2515536
188890,562,169,9646003
188891,563,169,14274553
188892,564,169,14741899
188893,565,169,14740747
188894,566,169,14739588
188895,567,169,14738422
188896,568,169,14731380
188897,569,169,14736069
188898,570,169,14734882
188899,571,169,14733689
188900,572,169,14732489
188901,573,169,14731281
188902,574,169,14730067
188903,575,169,14728846
188904,576,169,14727618
188905,577,169,14726383
188906,578,169,11601260
190008,559,170,2165697
190009,560,170,11442638
190010,561,170,14755378
190011,562,170,14754245
190012,563,170,14753106
190013,564,170,14751959
190014,565,170,14750806
190015,566,170,14749645
190016,567,170,14748478
190017,568,170,14747304
190018,569,170,14746123
190019,570,170,14744935
190020,571,170,14743740
190021,572,170,14742539
190022,573,170,14741330
190023,574,170,14740115
190024,575,170,14738893
190025,576,170,14737663
190026,577,170,14736427
190027,578,170,14167647
190028,579,170,1548887
191128,558,171,3113106
191129,559,171,14496280
191130,560,171,14766571
191131,561,171,14765444
191132,562,171,14764310
191133,563,171,14763170
191134,564,171,14762022
191135,565,171,14760867
191136,566,171,14759706
191137,567,171,14758538
191138,568,171,14757362
191139,569,171,14756180
191140,570,171,14754991
191141,571,171,14753795
191142,572,171,14752592
191143,573,171,14751382
191144,574,171,14414257
191145,575,171,11585971
191146,576,171,12822483
191147,577,171,11585118
191148,578,171,6712143
191149,579,171,258790
192250,559,172,4992288
192251,560,172,7996622
192252,561,172,12697250
192253,562,172,14774379
192254,563,172,14773237
192255,564,172,14772088
192256,565,172,14770932
192257,566,172,14769770
192258,567,172,14768600
192259,568,172,14767424
192260,569,172,14766240
192261,570,172,14249322
192262,571,172,12050765
192263,572,172,14247558
192264,573,172,7230340
192265,574,172,2983974
193373,561,173,1450
193374,562,173,5486268
193375,563,173,11822636
193376,564,173,10761355
193377,565,173,6001429
193378,566,173,2871970
193379,567,173,8087274
193380,568,173,6495197
193381,569,173,7034387
193382,570,173,2963735
193383,571,173,56250
193384,572,173,1148244
