grib_id,hrap_x,hrap_y,bin_area
175444,568,157,3027140
175445,569,157,4032430
175446,570,157,2026396
176565,568,158,4738492
176566,569,158,14625687
176567,570,158,12752380
176568,571,158,8535992
176569,572,158,3789985
177675,557,159,1052332
177676,558,159,8046756
177677,559,159,3434151
177685,567,159,2411366
177686,568,159,11404119
177687,569,159,14635706
177688,570,159,14634531
177689,571,159,14633350
177690,572,159,14579447
177691,573,159,8006266
177692,574,159,546471
178796,557,160,5072428
178797,558,160,14658212
178798,559,160,13970425
178799,560,160,9778856
178800,561,160,4605553
178801,562,160,5639960
178802,563,160,9079211
178803,564,160,11397008
178804,565,160,8967199
178805,566,160,9648025
178806,567,160,14164435
178807,568,160,14646897
178808,569,160,14645728
178809,570,160,14644552
178810,571,160,14643369
178811,572,160,14642179
178812,573,160,14640983
178813,574,160,3103877
179915,555,161,13995
179916,556,161,10220445
179917,557,161,14513228
179918,558,161,14668250
179919,559,161,14667148
179920,560,161,14666039
179921,561,161,14664924
179922,562,161,14663801
179923,563,161,14662672
179924,564,161,14661536
179925,565,161,14660393
179926,566,161,14659243
179927,567,161,14658086
179928,568,161,14656923
179929,569,161,14655753
179930,570,161,14654576
179931,571,161,14653392
179932,572,161,14652201
179933,573,161,14651003
179934,574,161,9251984
181035,554,162,8905
181036,555,162,7604421
181037,556,162,14680476
181038,557,162,14679387
181039,558,162,14678291
181040,559,162,14677188
181041,560,162,14676078
181042,561,162,14674961
181043,562,162,14673838
181044,563,162,14672707
181045,564,162,14671570
181046,565,162,14670426
181047,566,162,14669275
181048,567,162,14668117
181049,568,162,14666953
181050,569,162,14665781
181051,570,162,14664603
181052,571,162,14050343
181053,572,162,8934740
181054,573,162,10770499
181055,574,162,6575246
182156,554,163,748138
182157,555,163,11743821
182158,556,163,11613000
182159,557,163,14567309
182160,558,163,10075134
182161,559,163,6705831
182162,560,163,5505763
182163,561,163,7185271
182164,562,163,10220179
182165,563,163,11359615
182166,564,163,5662652
182167,565,163,10222261
182168,566,163,10045057
182169,567,163,12639866
182170,568,163,13142214
182171,569,163,14675079
182172,570,163,10632441
182173,571,163,2593963
183280,557,164,1233238
183281,558,164,1323712
183291,568,164,627585
183292,569,164,3329557
