grib_id,hrap_x,hrap_y,bin_area
179934,574,161,329997
181028,547,162,86236
181029,548,162,761280
181052,571,162,613075
181053,572,162,5727486
181054,573,162,3890528
181055,574,162,8055365
181056,575,162,1004352
182138,536,163,131008
182139,537,163,2654290
182140,538,163,6790688
182141,539,163,6082419
182142,540,163,297302
182148,546,163,5204044
182149,547,163,13434551
182150,548,163,14660853
182151,549,163,11945695
182152,550,163,6598738
182153,551,163,2096499
182154,552,163,7066646
182155,553,163,10591838
182156,554,163,12084031
182157,555,163,2947785
182158,556,163,3077523
182159,557,163,122123
182160,558,163,4613201
182161,559,163,7981400
182162,560,163,9180357
182163,561,163,7499731
182164,562,163,4463699
182165,563,163,3323131
182166,564,163,9018955
182167,565,163,4458201
182168,566,163,4634253
182169,567,163,2038285
182170,568,163,1534771
182171,569,163,734
182172,570,163,4042192
182173,571,163,12079484
182174,572,163,14672254
182175,573,163,14671054
182176,574,163,12381041
182177,575,163,511827
183257,534,164,784435
183258,535,164,7555258
183259,536,164,9699022
183260,537,164,14720001
183261,538,164,14719041
183262,539,164,14718074
183263,540,164,13367608
183264,541,164,8667473
183265,542,164,2757635
183266,543,164,65217
183268,545,164,2901418
183269,546,164,12829890
183270,547,164,14710086
183271,548,164,14709057
183272,549,164,14708020
183273,550,164,14706977
183274,551,164,14705927
183275,552,164,14704870
183276,553,164,14703806
183277,554,164,14702735
183278,555,164,14701657
183279,556,164,14700572
183280,557,164,13466243
183281,558,164,13374671
183282,559,164,14697277
183283,560,164,14696165
183284,561,164,14695046
183285,562,164,14693920
183286,563,164,14692788
183287,564,164,14691648
183288,565,164,14690502
183289,566,164,14689348
183290,567,164,14688188
183291,568,164,14059436
183292,569,164,11356290
183293,570,164,14684667
183294,571,164,14683479
183295,572,164,14682285
183296,573,164,14681084
183297,574,164,9998392
184378,534,165,8505084
184379,535,165,14731976
184380,536,165,14731029
184381,537,165,14730074
184382,538,165,14729113
184383,539,165,14728144
184384,540,165,14727169
184385,541,165,14726187
184386,542,165,14725198
184387,543,165,10468706
184388,544,165,10429474
184389,545,165,14583527
184390,546,165,14721172
184391,547,165,14720149
184392,548,165,14719118
184393,549,165,14718080
184394,550,165,14717036
184395,551,165,14715985
184396,552,165,14714927
184397,553,165,14713862
184398,554,165,14712790
184399,555,165,14711711
184400,556,165,14710625
184401,557,165,14709533
184402,558,165,14708433
184403,559,165,14707327
184404,560,165,14706214
184405,561,165,14705094
184406,562,165,14703967
184407,563,165,14702833
184408,564,165,14701692
184409,565,165,14700545
184410,566,165,14699390
184411,567,165,14698229
184412,568,165,14697061
184413,569,165,14695885
184414,570,165,14694704
184415,571,165,14693515
184416,572,165,14692319
