grib_id,hrap_x,hrap_y,bin_area
156349,530,140,7146009
156350,531,140,8415000
157469,529,141,998587
157470,530,141,13272796
157471,531,141,13350500
157472,532,141,656574
158589,528,142,2765373
158590,529,142,6502436
158591,530,142,14505615
158592,531,142,14243165
158593,532,142,1519266
159708,526,143,615410
159709,527,143,6209153
159710,528,143,14353201
159711,529,143,14516507
159712,530,143,14515621
159713,531,143,11795034
160828,525,144,2870825
160829,526,144,10882022
160830,527,144,14528271
160831,528,144,14527398
160832,529,144,14526518
160833,530,144,14525631
160834,531,144,12618007
161947,523,145,10874
161948,524,145,1192836
161949,525,145,13105281
161950,526,145,14539155
161951,527,145,14538287
161952,528,145,14537414
161953,529,145,14536533
161954,530,145,14535645
161955,531,145,13127311
161956,532,145,1823383
163066,521,146,22
163067,522,146,3223791
163068,523,146,10702556
163069,524,146,14493368
163070,525,146,14550037
163071,526,146,14549175
163072,527,146,14548307
163073,528,146,14547432
163074,529,146,14546550
163075,530,146,14545662
163076,531,146,14544766
163077,532,146,14034540
163078,533,146,1721700
164185,519,147,833762
164186,520,147,12223277
164187,521,147,12180711
164188,522,147,14562607
164189,523,147,14561765
164190,524,147,14560917
164191,525,147,14560061
164192,526,147,14559199
164193,527,147,14558330
164194,528,147,14557454
164195,529,147,14556571
164196,530,147,14555682
164197,531,147,14554786
164198,532,147,14092141
164199,533,147,998971
165306,519,148,1372975
165307,520,148,14409872
165308,521,148,14573473
165309,522,148,14572637
165310,523,148,14571795
165311,524,148,14570945
165312,525,148,14570089
165313,526,148,14569226
165314,527,148,14568356
165315,528,148,14567479
165316,529,148,14566596
165317,530,148,14565705
165318,531,148,14564808
165319,532,148,6761441
166426,518,149,1187261
166427,519,149,11358867
166428,520,149,14196856
166429,521,149,14583508
166430,522,149,14582671
166431,523,149,14581828
166432,524,149,14580978
166433,525,149,14580120
166434,526,149,14579256
166435,527,149,14578386
166436,528,149,14577508
166437,529,149,14576623
166438,530,149,14575732
166439,531,149,12542822
166440,532,149,350354
167545,516,150,2690781
167546,517,150,10905531
167547,518,150,13498161
167548,519,150,14595200
167549,520,150,14594377
167550,521,150,14593546
167551,522,150,14592709
167552,523,150,14591864
167553,524,150,14591013
167554,525,150,14590155
167555,526,150,14589290
167556,527,150,14588418
167557,528,150,14587540
167558,529,150,14586655
167559,530,150,13956315
167560,531,150,4210216
168666,516,151,9204698
168667,517,151,14606872
168668,518,151,14606061
168669,519,151,14605244
168670,520,151,14604419
168671,521,151,14603587
168672,522,151,14602749
168673,523,151,14601904
168674,524,151,14601052
168675,525,151,14600193
168676,526,151,14599327
168677,527,151,14598455
168678,528,151,14597575
168679,529,151,14596689
168680,530,151,6563609
169787,516,152,7408279
169788,517,152,14616920
169789,518,152,14616109
169790,519,152,14615290
169791,520,152,14614465
169792,521,152,14613632
169793,522,152,14612793
169794,523,152,14611947
169795,524,152,14611094
169796,525,152,14610234
169797,526,152,14609368
169798,527,152,14608494
169799,528,152,14607614
169800,529,152,14606727
169801,530,152,2739643
170908,516,153,10342884
170909,517,153,14626972
170910,518,153,14626159
170911,519,153,14625340
170912,520,153,14624514
170913,521,153,14623680
170914,522,153,14622840
170915,523,153,14621993
170916,524,153,14621140
170917,525,153,14620279
170918,526,153,14619411
170919,527,153,14618537
170920,528,153,14617656
170921,529,153,14616768
170922,530,153,4037037
172027,514,154,657179
172028,515,154,7138943
172029,516,154,14618989
172030,517,154,14637027
172031,518,154,14636213
172032,519,154,14635393
172033,520,154,14634566
172034,521,154,14633732
172035,522,154,14632891
172036,523,154,14632043
172037,524,154,14631188
172038,525,154,14630327
172039,526,154,14629459
