grib_id,hrap_x,hrap_y,bin_area
165332,545,148,1123362
165333,546,148,3725223
166452,544,149,4768263
166453,545,149,13965142
166454,546,149,10096343
166456,548,149,213043
166457,549,149,4370607
167573,544,150,9792877
167574,545,150,14571560
167575,546,150,10568348
167576,547,150,492482
167577,548,150,5130432
167578,549,150,6775169
168691,541,151,1359352
168692,542,151,2937800
168693,543,151,8661551
168694,544,151,14080115
168695,545,151,14581579
168696,546,151,14580577
168697,547,151,14237249
168698,548,151,13323656
168699,549,151,11029485
168700,550,151,4068984
168701,551,151,291039
168702,552,151,789472
168703,553,151,1121680
169812,541,152,8016848
169813,542,152,14594570
169814,543,152,14593588
169815,544,152,14592598
169816,545,152,14591601
169817,546,152,14590598
169818,547,152,14589588
169819,548,152,14588571
169820,549,152,14587547
169821,550,152,14586516
169822,551,152,14521219
169823,552,152,14577105
169824,553,152,14429565
169825,554,152,7209196
170932,540,153,1679567
170933,541,153,14242697
170934,542,153,14604599
170935,543,153,14603615
170936,544,153,14602624
170937,545,153,14601627
170938,546,153,14600622
170939,547,153,14599611
170940,548,153,14598593
170941,549,153,14597568
170942,550,153,14596537
170943,551,153,14595498
170944,552,153,14594453
170945,553,153,13568727
170946,554,153,8834637
172054,541,154,13235882
172055,542,154,14614631
172056,543,154,14613646
172057,544,154,14612654
172058,545,154,14611656
172059,546,154,14610650
172060,547,154,14609638
172061,548,154,14608619
172062,549,154,14607593
172063,550,154,14606560
172064,551,154,14605521
172065,552,154,12050053
172066,553,154,2453356
173175,541,155,8868648
173176,542,155,14624666
173177,543,155,14623680
173178,544,155,14622687
173179,545,155,14621688
173180,546,155,14620681
173181,547,155,14619668
173182,548,155,14618648
173183,549,155,14617621
173184,550,155,14616587
173185,551,155,9780802
173186,552,155,705956
174296,541,156,8354814
174297,542,156,14634705
174298,543,156,14633718
174299,544,156,14632724
174300,545,156,14631723
174301,546,156,14630716
174302,547,156,14629702
174303,548,156,14628680
174304,549,156,14627652
174305,550,156,14626618
174306,551,156,7165926
175416,540,157,55121
175417,541,157,12966747
175418,542,157,14644746
175419,543,157,14643759
175420,544,157,14642764
175421,545,157,14641762
175422,546,157,14640754
175423,547,157,12535918
175424,548,157,13365104
175425,549,157,11784187
175426,550,157,8614646
175427,551,157,1183752
176537,540,158,586339
176538,541,158,11376766
176539,542,158,11536644
176540,543,158,11863010
176541,544,158,14652807
176542,545,158,13910546
176543,546,158,6639254
176544,547,158,43031
176545,548,158,636683
176546,549,158,423912
177661,543,159,44628
177662,544,159,5669076
177663,545,159,65043
