grib_id,hrap_x,hrap_y,bin_area,area_name
170947,555,153,186521,Bexar
170948,556,153,3492832,Bexar
172068,555,154,13511,Bexar
172069,556,154,12421149,Bexar
172070,557,154,10727941,Bexar
172071,558,154,6684843,Bexar
172072,559,154,2638342,Bexar
172073,560,154,1049590,Bexar
172074,561,154,7686,Bexar
173190,556,155,7954127,Bexar
173191,557,155,14609160,Bexar
173192,558,155,14608071,Bexar
173193,559,155,14606976,Bexar
173194,560,155,14605874,Bexar
173195,561,155,13818516,Bexar
173196,562,155,9823051,Bexar
173197,563,155,3281176,Bexar
173198,564,155,261057,Bexar
173199,565,155,5515479,Bexar
173200,566,155,7541752,Bexar
173201,567,155,8226669,Bexar
174311,556,156,2806869,Bexar
174312,557,156,14619182,Bexar
174313,558,156,14618093,Bexar
174314,559,156,14616997,Bexar
174315,560,156,14615894,Bexar
174316,561,156,14614784,Bexar
174317,562,156,14613667,Bexar
174318,563,156,14579356,Bexar
174319,564,156,10733512,Bexar
174320,565,156,14610276,Bexar
174321,566,156,14609132,Bexar
174322,567,156,14607378,Bexar
174323,568,156,1464994,Bexar
175432,556,157,8406100,Bexar
175433,557,157,14629208,Bexar
175434,558,157,14628118,Bexar
175435,559,157,14627020,Bexar
175436,560,157,14625916,Bexar
175437,561,157,14624805,Bexar
175438,562,157,14623687,Bexar
175439,563,157,14622563,Bexar
175440,564,157,14621431,Bexar
175441,565,157,14620293,Bexar
175442,566,157,14619148,Bexar
175443,567,157,14617996,Bexar
175444,568,157,8323050,Bexar
176553,556,158,9160822,Bexar
176554,557,158,14639238,Bexar
176555,558,158,14638146,Bexar
176556,559,158,14637047,Bexar
176557,560,158,14635942,Bexar
176558,561,158,14634830,Bexar
176559,562,158,14633711,Bexar
176560,563,158,14632585,Bexar
176561,564,158,14631452,Bexar
176562,565,158,14630313,Bexar
176563,566,158,14629167,Bexar
176564,567,158,14628014,Bexar
176565,568,158,9888362,Bexar
177674,556,159,828622,Bexar
177675,557,159,9220666,Bexar
177676,558,159,6601421,Bexar
177677,559,159,11212927,Bexar
177678,560,159,14645971,Bexar
177679,561,159,14644858,Bexar
177680,562,159,14643738,Bexar
177681,563,159,14642611,Bexar
177682,564,159,14641477,Bexar
177683,565,159,14640336,Bexar
177684,566,159,14639189,Bexar
177685,567,159,12226669,Bexar
177686,568,159,3232755,Bexar
178798,559,160,686686,Bexar
178799,560,160,4877147,Bexar
178800,561,160,10049336,Bexar
178801,562,160,9013808,Bexar
178802,563,160,5573429,Bexar
178803,564,160,3254496,Bexar
178804,565,160,5683164,Bexar
178805,566,160,5001189,Bexar
178806,567,160,483623,Bexar
182176,574,163,2288806,Blanco
182177,575,163,8205544,Blanco
183297,574,164,4681484,Blanco
183298,575,164,14665932,Blanco
183299,576,164,5220991,Blanco
184418,574,165,9344226,Blanco
184419,575,165,14688691,Blanco
184420,576,165,14310688,Blanco
184421,577,165,3952412,Blanco
185538,573,166,53038,Blanco
185539,574,166,9711431,Blanco
185540,575,166,14698725,Blanco
185541,576,166,14697501,Blanco
185542,577,166,13537311,Blanco
185543,578,166,1540093,Blanco
186657,571,167,429333,Blanco
186658,572,167,3023145,Blanco
186659,573,167,7171856,Blanco
186660,574,167,14709981,Blanco
186661,575,167,14708762,Blanco
186662,576,167,14707537,Blanco
186663,577,167,14706305,Blanco
186664,578,167,6374709,Blanco
187770,563,168,391851,Blanco
187771,564,168,6441325,Blanco
187772,565,168,7381462,Blanco
187773,566,168,10442358,Blanco
187774,567,168,5388422,Blanco
187775,568,168,1179111,Blanco
187776,569,168,3250819,Blanco
187777,570,168,7638357,Blanco
187778,571,168,12959737,Blanco
187779,572,168,14721925,Blanco
187780,573,168,14692889,Blanco
187781,574,168,14720022,Blanco
187782,575,168,14718803,Blanco
187783,576,168,14717576,Blanco
187784,577,168,14716342,Blanco
187785,578,168,8120620,Blanco
188888,560,169,225225,Blanco
188889,561,169,2515536,Blanco
188890,562,169,9646003,Blanco
188891,563,169,14274553,Blanco
188892,564,169,14741899,Blanco
188893,565,169,14740747,Blanco
188894,566,169,14739588,Blanco
188895,567,169,14738422,Blanco
188896,568,169,14731380,Blanco
188897,569,169,14736069,Blanco
188898,570,169,14734882,Blanco
188899,571,169,14733689,Blanco
188900,572,169,14732489,Blanco
188901,573,169,14731281,Blanco
188902,574,169,14730067,Blanco
188903,575,169,14728846,Blanco
188904,576,169,14727618,Blanco
188905,577,169,14726383,Blanco
188906,578,169,11601260,Blanco
190008,559,170,2165697,Blanco
190009,560,170,11442638,Blanco
190010,561,170,14755378,Blanco
190011,562,170,14754245,Blanco
190012,563,170,14753106,Blanco
190013,564,170,14751959,Blanco
190014,565,170,14750806,Blanco
190015,566,170,14749645,Blanco
190016,567,170,14748478,Blanco
190017,568,170,14747304,Blanco
190018,569,170,14746123,Blanco
190019,570,170,14744935,Blanco
190020,571,170,14743740,Blanco
190021,572,170,14742539,Blanco
190022,573,170,14741330,Blanco
190023,574,170,14740115,Blanco
190024,575,170,14738893,Blanco
190025,576,170,14737663,Blanco
190026,577,170,14736427,Blanco
190027,578,170,14167647,Blanco
190028,579,170,1548887,Blanco
191128,558,171,3113106,Blanco
191129,559,171,14496280,Blanco
191130,560,171,14766571,Blanco
191131,561,171,14765444,Blanco
191132,562,171,14764310,Blanco
191133,563,171,14763170,Blanco
191134,564,171,14762022,Blanco
191135,565,171,14760867,Blanco
191136,566,171,14759706,Blanco
191137,567,171,14758538,Blanco
191138,568,171,14757362,Blanco
191139,569,171,14756180,Blanco
191140,570,171,14754991,Blanco
191141,571,171,14753795,Blanco
191142,572,171,14752592,Blanco
191143,573,171,14751382,Blanco
191144,574,171,14414257,Blanco
191145,575,171,11585971,Blanco
191146,576,171,12822483,Blanco
191147,577,171,11585118,Blanco
191148,578,171,6712143,Blanco
191149,579,171,258790,Blanco
192250,559,172,4992288,Blanco
192251,560,172,7996622,Blanco
192252,561,172,12697250,Blanco
192253,562,172,14774379,Blanco
192254,563,172,14773237,Blanco
192255,564,172,14772088,Blanco
192256,565,172,14770932,Blanco
192257,566,172,14769770,Blanco
192258,567,172,14768600,Blanco
192259,568,172,14767424,Blanco
192260,569,172,14766240,Blanco
192261,570,172,14249322,Blanco
192262,571,172,12050765,Blanco
192263,572,172,14247558,Blanco
192264,573,172,7230340,Blanco
192265,574,172,2983974,Blanco
193373,561,173,1450,Blanco
193374,562,173,5486268,Blanco
193375,563,173,11822636,Blanco
193376,564,173,10761355,Blanco
193377,565,173,6001429,Blanco
193378,566,173,2871970,Blanco
193379,567,173,8087274,Blanco
193380,568,173,6495197,Blanco
193381,569,173,7034387,Blanco
193382,570,173,2963735,Blanco
193383,571,173,56250,Blanco
193384,572,173,1148244,Blanco
175444,568,157,3027140,Cibolo-Dry Comal
175445,569,157,4032430,Cibolo-Dry Comal
175446,570,157,2026396,Cibolo-Dry Comal
176565,568,158,4738492,Cibolo-Dry Comal
176566,569,158,14625687,Cibolo-Dry Comal
176567,570,158,12752380,Cibolo-Dry Comal
176568,571,158,8535992,Cibolo-Dry Comal
176569,572,158,3789985,Cibolo-Dry Comal
177675,557,159,1052332,Cibolo-Dry Comal
177676,558,159,8046756,Cibolo-Dry Comal
177677,559,159,3434151,Cibolo-Dry Comal
177685,567,159,2411366,Cibolo-Dry Comal
177686,568,159,11404119,Cibolo-Dry Comal
177687,569,159,14635706,Cibolo-Dry Comal
177688,570,159,14634531,Cibolo-Dry Comal
177689,571,159,14633350,Cibolo-Dry Comal
177690,572,159,14579447,Cibolo-Dry Comal
177691,573,159,8006266,Cibolo-Dry Comal
177692,574,159,546471,Cibolo-Dry Comal
178796,557,160,5072428,Cibolo-Dry Comal
178797,558,160,14658212,Cibolo-Dry Comal
178798,559,160,13970425,Cibolo-Dry Comal
178799,560,160,9778856,Cibolo-Dry Comal
178800,561,160,4605553,Cibolo-Dry Comal
178801,562,160,5639960,Cibolo-Dry Comal
178802,563,160,9079211,Cibolo-Dry Comal
178803,564,160,11397008,Cibolo-Dry Comal
178804,565,160,8967199,Cibolo-Dry Comal
178805,566,160,9648025,Cibolo-Dry Comal
178806,567,160,14164435,Cibolo-Dry Comal
178807,568,160,14646897,Cibolo-Dry Comal
178808,569,160,14645728,Cibolo-Dry Comal
178809,570,160,14644552,Cibolo-Dry Comal
178810,571,160,14643369,Cibolo-Dry Comal
178811,572,160,14642179,Cibolo-Dry Comal
178812,573,160,14640983,Cibolo-Dry Comal
178813,574,160,3103877,Cibolo-Dry Comal
179915,555,161,13995,Cibolo-Dry Comal
179916,556,161,10220445,Cibolo-Dry Comal
179917,557,161,14513228,Cibolo-Dry Comal
179918,558,161,14668250,Cibolo-Dry Comal
179919,559,161,14667148,Cibolo-Dry Comal
179920,560,161,14666039,Cibolo-Dry Comal
179921,561,161,14664924,Cibolo-Dry Comal
179922,562,161,14663801,Cibolo-Dry Comal
179923,563,161,14662672,Cibolo-Dry Comal
179924,564,161,14661536,Cibolo-Dry Comal
179925,565,161,14660393,Cibolo-Dry Comal
179926,566,161,14659243,Cibolo-Dry Comal
179927,567,161,14658086,Cibolo-Dry Comal
179928,568,161,14656923,Cibolo-Dry Comal
179929,569,161,14655753,Cibolo-Dry Comal
179930,570,161,14654576,Cibolo-Dry Comal
179931,571,161,14653392,Cibolo-Dry Comal
179932,572,161,14652201,Cibolo-Dry Comal
179933,573,161,14651003,Cibolo-Dry Comal
179934,574,161,9251984,Cibolo-Dry Comal
181035,554,162,8905,Cibolo-Dry Comal
181036,555,162,7604421,Cibolo-Dry Comal
