grib_id,hrap_x,hrap_y,bin_area,area_name
468614,36,419,52181,Adobe
469734,35,420,8382,Adobe
469735,36,420,10783088,Adobe
469736,37,420,2358901,Adobe
470856,36,421,11326867,Adobe
470857,37,421,14755875,Adobe
470858,38,421,1608105,Adobe
471977,36,422,2959303,Adobe
471978,37,422,16840799,Adobe
471979,38,422,5322742,Adobe
473098,36,423,18528,Adobe
473099,37,423,6443931,Adobe
473100,38,423,800796,Adobe
466373,37,417,736223,Calabazas
466374,38,417,1344146,Calabazas
467494,37,418,2158630,Calabazas
467495,38,418,14855824,Calabazas
467496,39,418,1993738,Calabazas
468616,38,419,4242112,Calabazas
468617,39,419,10923878,Calabazas
468618,40,419,1648717,Calabazas
469738,39,420,5035922,Calabazas
469739,40,420,7337547,Calabazas
470860,40,421,3816242,Calabazas
455174,48,407,608658,Coyote
455175,49,407,4320279,Coyote
455176,50,407,1102766,Coyote
456295,48,408,10597730,Coyote
456296,49,408,16733676,Coyote
456297,50,408,5248972,Coyote
457415,47,409,6707586,Coyote
457416,48,409,16660374,Coyote
457417,49,409,16744049,Coyote
457418,50,409,1489261,Coyote
458536,47,410,13089311,Coyote
458537,48,410,16751396,Coyote
458538,49,410,16392809,Coyote
458539,50,410,1678015,Coyote
459656,46,411,1502058,Coyote
459657,47,411,16122989,Coyote
459658,48,411,16761792,Coyote
459659,49,411,12297721,Coyote
460775,44,412,6389136,Coyote
460776,45,412,7138986,Coyote
460777,46,412,12820973,Coyote
460778,47,412,16769101,Coyote
460779,48,412,16772189,Coyote
460780,49,412,16759477,Coyote
460781,50,412,8190334,Coyote
461895,43,413,3105369,Coyote
461896,44,413,16512433,Coyote
461897,45,413,16743337,Coyote
461898,46,413,16776398,Coyote
461899,47,413,16779496,Coyote
461900,48,413,16782587,Coyote
461901,49,413,16785670,Coyote
461902,50,413,7678189,Coyote
463016,43,414,8484508,Coyote
463017,44,414,16780564,Coyote
463018,45,414,16783682,Coyote
463019,46,414,16786791,Coyote
463020,47,414,16789892,Coyote
463021,48,414,14538242,Coyote
463022,49,414,16762266,Coyote
463023,50,414,8896899,Coyote
464137,43,415,3443737,Coyote
464138,44,415,16762150,Coyote
464139,45,415,16794073,Coyote
464140,46,415,16674394,Coyote
464141,47,415,5479533,Coyote
464142,48,415,1933466,Coyote
464143,49,415,6270653,Coyote
464144,50,415,4263919,Coyote
465257,42,416,849382,Coyote
465258,43,416,14290689,Coyote
465259,44,416,16801342,Coyote
465260,45,416,16804465,Coyote
465261,46,416,13332133,Coyote
465262,47,416,489455,Coyote
466378,42,417,10629153,Coyote
466379,43,417,16808598,Coyote
466380,44,417,16811732,Coyote
466381,45,417,16814858,Coyote
466382,46,417,5791114,Coyote
467499,42,418,10704786,Coyote
467500,43,418,16818987,Coyote
467501,44,418,16822124,Coyote
467502,45,418,16815236,Coyote
467503,46,418,4249700,Coyote
468619,41,419,761217,Coyote
468620,42,419,12414102,Coyote
468621,43,419,16829376,Coyote
468622,44,419,16832516,Coyote
468623,45,419,15129782,Coyote
468624,46,419,233996,Coyote
469740,41,420,878064,Coyote
469741,42,420,16695656,Coyote
469742,43,420,16839766,Coyote
469743,44,420,12343260,Coyote
469744,45,420,2739643,Coyote
470861,41,421,680397,Coyote
470862,42,421,15741585,Coyote
470863,43,421,16286833,Coyote
470864,44,421,699042,Coyote
471983,42,422,2757684,Coyote
471984,43,422,3263913,Coyote
460771,40,412,4866736,Guadalupe-River
460772,41,412,3842803,Guadalupe-River
461890,38,413,64311,Guadalupe-River
461891,39,413,8494506,Guadalupe-River
461892,40,413,16650298,Guadalupe-River
461893,41,413,15791585,Guadalupe-River
461894,42,413,7986768,Guadalupe-River
461895,43,413,9017838,Guadalupe-River
463011,38,414,7557290,Guadalupe-River
463012,39,414,16764860,Guadalupe-River
463013,40,414,16768017,Guadalupe-River
463014,41,414,16771166,Guadalupe-River
463015,42,414,16774306,Guadalupe-River
463016,43,414,8292931,Guadalupe-River
464131,37,415,913194,Guadalupe-River
464132,38,415,16288669,Guadalupe-River
464133,39,415,16775234,Guadalupe-River
464134,40,415,16778393,Guadalupe-River
464135,41,415,16781545,Guadalupe-River
464136,42,415,16784689,Guadalupe-River
464137,43,415,13344087,Guadalupe-River
464138,44,415,28802,Guadalupe-River
465252,37,416,3239479,Guadalupe-River
465253,38,416,11251253,Guadalupe-River
465254,39,416,15897894,Guadalupe-River
465255,40,416,16788771,Guadalupe-River
465256,41,416,16791925,Guadalupe-River
465257,42,416,15945690,Guadalupe-River
465258,43,416,2507522,Guadalupe-River
466375,39,417,1275029,Guadalupe-River
466376,40,417,13695104,Guadalupe-River
466377,41,417,16802307,Guadalupe-River
466378,42,417,6176303,Guadalupe-River
467497,40,418,5609517,Guadalupe-River
467498,41,418,16812689,Guadalupe-River
467499,42,418,6111055,Guadalupe-River
468618,40,419,3385353,Guadalupe-River
468619,41,419,16061855,Guadalupe-River
468620,42,419,4412126,Guadalupe-River
469739,40,420,7692,Guadalupe-River
469740,41,420,14418697,Guadalupe-River
469741,42,420,140959,Guadalupe-River
470860,40,421,852839,Guadalupe-River
470861,41,421,5256937,Guadalupe-River
454051,46,406,104638,Llagas
454052,47,406,277322,Llagas
455171,45,407,221993,Llagas
455172,46,407,11359116,Llagas
455173,47,407,9041076,Llagas
455174,48,407,2131707,Llagas
456292,45,408,7930994,Llagas
456293,46,408,16724447,Llagas
456294,47,408,16727531,Llagas
456295,48,408,4037523,Llagas
457412,44,409,2401,Llagas
457413,45,409,14086821,Llagas
457414,46,409,16734835,Llagas
457415,47,409,10030336,Llagas
457416,48,409,80627,Llagas
458533,44,410,4208377,Llagas
458534,45,410,16742127,Llagas
458535,46,410,16745224,Llagas
458536,47,410,3659003,Llagas
459653,43,411,281968,Llagas
459654,44,411,12292131,Llagas
459655,45,411,16752514,Llagas
459656,46,411,15253556,Llagas
459657,47,411,635718,Llagas
460772,41,412,5804761,Llagas
460773,42,412,8769659,Llagas
460774,43,412,12521655,Llagas
460775,44,412,10370655,Llagas
460776,45,412,9623916,Llagas
460777,46,412,3945032,Llagas
461893,41,413,969202,Llagas
461894,42,413,8777156,Llagas
461895,43,413,4643848,Llagas
461896,44,413,257744,Llagas
